sku,current_stock,min_stock,stock_status
SKU-00077,659.0,37,OK
SKU-00074,673.0,9,OK
SKU-00086,674.0,29,OK
SKU-00089,681.0,8,OK
SKU-00096,688.0,17,OK
SKU-00005,695.0,14,OK
SKU-00028,704.0,23,OK
SKU-00053,708.0,37,OK
SKU-00172,717.0,24,OK
SKU-00017,722.0,23,OK
SKU-00033,723.0,35,OK
SKU-00049,732.0,45,OK
SKU-00117,733.0,1,OK
SKU-00144,734.0,45,OK
SKU-00042,735.0,7,OK
SKU-00006,749.0,0,OK
SKU-00078,752.0,3,OK
SKU-00170,754.0,5,OK
SKU-00019,757.0,34,OK
SKU-00034,758.0,43,OK
SKU-00069,760.0,26,OK
SKU-00021,767.0,43,OK
SKU-00083,775.0,26,OK
SKU-00048,781.0,13,OK
SKU-00160,782.0,26,OK
SKU-00051,790.0,7,OK
SKU-00030,791.0,9,OK
SKU-00150,796.0,48,OK
SKU-00119,796.0,22,OK
SKU-00101,798.0,40,OK
SKU-00122,814.0,37,OK
SKU-00076,816.0,47,OK
SKU-00026,816.0,8,OK
SKU-00126,820.0,36,OK
SKU-00109,826.0,39,OK
SKU-00091,830.0,28,OK
SKU-00183,835.0,6,OK
SKU-00023,844.0,17,OK
SKU-00098,848.0,32,OK
SKU-00132,855.0,12,OK
SKU-00088,866.0,4,OK
SKU-00104,873.0,23,OK
SKU-00155,876.0,4,OK
SKU-00182,885.0,49,OK
SKU-00007,891.0,21,OK
SKU-00171,899.0,29,OK
SKU-00114,901.0,2,OK
SKU-00013,905.0,36,OK
SKU-00178,906.0,1,OK
SKU-00039,915.0,40,OK
SKU-00135,919.0,18,OK
SKU-00067,919.0,35,OK
SKU-00107,927.0,13,OK
SKU-00038,931.0,32,OK
SKU-00097,933.0,45,OK
SKU-00131,936.0,25,OK
SKU-00041,939.0,38,OK
SKU-00059,952.0,15,OK
SKU-00092,954.0,39,OK
SKU-00161,962.0,24,OK
SKU-00087,964.0,29,OK
SKU-00143,964.0,26,OK
SKU-00136,973.0,29,OK
SKU-00189,974.0,32,OK
SKU-00179,977.0,8,OK
SKU-00014,978.0,42,OK
SKU-00108,981.0,22,OK
SKU-00129,984.0,39,OK
SKU-00187,984.0,50,OK
SKU-00180,995.0,29,OK
SKU-00011,1012.0,34,OK
SKU-00168,1030.0,29,OK
SKU-00127,1038.0,45,OK
SKU-00046,1038.0,42,OK
SKU-00137,1041.0,32,OK
SKU-00073,1056.0,27,OK
SKU-00120,1057.0,43,OK
SKU-00167,1057.0,42,OK
SKU-00156,1067.0,17,OK
SKU-00149,1067.0,29,OK
SKU-00151,1068.0,35,OK
SKU-00057,1069.0,42,OK
SKU-00192,1081.0,45,OK
SKU-00100,1085.0,2,OK
SKU-00197,1089.0,48,OK
SKU-00191,1102.0,27,OK
SKU-00190,1107.0,26,OK
SKU-00025,1117.0,41,OK
SKU-00079,1119.0,11,OK
SKU-00084,1125.0,16,OK
SKU-00040,1132.0,9,OK
SKU-00032,1144.0,38,OK
SKU-00174,1154.0,48,OK
SKU-00196,1243.0,17,OK
SKU-00002,1259.0,37,OK
SKU-00185,1276.0,45,OK
SKU-00068,1278.0,5,OK
SKU-00123,1314.0,6,OK
SKU-00125,1315.0,38,OK
SKU-00195,1327.0,20,OK
SKU-00110,1342.0,10,OK
SKU-00090,1413.0,15,OK
SKU-00054,1457.0,45,OK
SKU-00176,1705.0,22,OK
SKU-00177,1718.0,48,OK
